author_id,author,num_lines,char_count,source_path
1,$ierra,39,1716,data/raw/$ierra.txt
2,2020,18,594,data/raw/2020.txt
3,2K,17,744,data/raw/2K.txt
4,2sty,19,622,data/raw/2sty.txt
5,360MI,21,969,data/raw/360MI.txt
6,3Y Gun Kara,21,849,data/raw/3Y Gun Kara.txt
7,4tune,17,967,data/raw/4tune.txt
8,730 Huncho,38,1442,data/raw/730 Huncho.txt
9,ADM,20,868,data/raw/ADM.txt
10,AK-47,15,854,data/raw/AK-47.txt
11,AKS,24,913,data/raw/AKS.txt
12,ALBI,17,606,data/raw/ALBI.txt
13,ARTVR,20,870,data/raw/ARTVR.txt
14,ATR MF,2,24,data/raw/ATR MF.txt
15,AdMa,20,868,data/raw/AdMa.txt
16,Adam Bodnar,25,1015,data/raw/Adam Bodnar.txt
17,Adam,56,2700,data/raw/Adam.txt
18,Adamz,56,2700,data/raw/Adamz.txt
19,Adi Nowak,33,1728,data/raw/Adi Nowak.txt
20,Aero,43,2441,data/raw/Aero.txt
21,Ajkan,17,708,data/raw/Ajkan.txt
22,Ajman,17,708,data/raw/Ajman.txt
23,Ajter,21,905,data/raw/Ajter.txt
24,Alberto,26,1379,data/raw/Alberto.txt
25,Albi,17,606,data/raw/Albi.txt
26,Alergen,14,530,data/raw/Alergen.txt
27,Aleshen,14,530,data/raw/Aleshen.txt
28,Alex,25,1164,data/raw/Alex.txt
29,Ali471,41,1448,data/raw/Ali471.txt
30,Alien,45,1910,data/raw/Alien.txt
31,Alpa Lzk,24,1181,data/raw/Alpa Lzk.txt
32,Amar 8YG,12,414,data/raw/Amar 8YG.txt
33,Ambro,18,529,data/raw/Ambro.txt
34,AnDess,36,1738,data/raw/AnDess.txt
35,Andrzej Duda,33,1862,data/raw/Andrzej Duda.txt
36,Andrzej Piaseczny,17,563,data/raw/Andrzej Piaseczny.txt
37,Andrzej Seweryn,22,1116,data/raw/Andrzej Seweryn.txt
38,Angie,2,24,data/raw/Angie.txt
39,Ankou,24,935,data/raw/Ankou.txt
40,Antoine,33,1089,data/raw/Antoine.txt
41,Arab,23,1032,data/raw/Arab.txt
42,Arczi Szajka,21,690,data/raw/Arczi Szajka.txt
43,Aron HBR,24,1237,data/raw/Aron HBR.txt
44,Artur Andrus,27,1693,data/raw/Artur Andrus.txt
45,Artur Dziambor,67,2136,data/raw/Artur Dziambor.txt
46,Asik,17,712,data/raw/Asik.txt
47,Athletico 2115,18,1034,data/raw/Athletico 2115.txt
48,Augustyn,25,1145,data/raw/Augustyn.txt
49,Avi,19,846,data/raw/Avi.txt
50,Awalas,24,1080,data/raw/Awalas.txt
51,Ayamcamani,29,1166,data/raw/Ayamcamani.txt
52,B.A.D,47,2276,data/raw/B.A.D.txt
53,B.R.O.,28,1349,data/raw/B.R.O..txt
54,B24,39,1504,data/raw/B24.txt
55,BBX,22,1107,data/raw/BBX.txt
56,BRK,28,1349,data/raw/BRK.txt
57,BRLSN,17,912,data/raw/BRLSN.txt
58,BTK,28,977,data/raw/BTK.txt
59,Bajorson,47,2276,data/raw/Bajorson.txt
60,Baks,21,985,data/raw/Baks.txt
61,Bambo the Smuggler,21,832,data/raw/Bambo the Smuggler.txt
62,Baron,36,1628,data/raw/Baron.txt
63,Barto'cut12,29,1407,data/raw/Barto'cut12.txt
64,Bartosz Kapustka,18,1383,data/raw/Bartosz Kapustka.txt
65,Bażant,43,2016,data/raw/Bażant.txt
66,Bede,30,2648,data/raw/Bede.txt
67,Bedoes,30,2648,data/raw/Bedoes.txt
68,Beka KSH,28,977,data/raw/Beka KSH.txt
69,Berson,33,892,data/raw/Berson.txt
70,Beteo,28,1232,data/raw/Beteo.txt
71,Beuz,24,961,data/raw/Beuz.txt
72,Biak,74,2424,data/raw/Biak.txt
73,Białas,74,2424,data/raw/Białas.txt
74,Biernol,17,701,data/raw/Biernol.txt
75,Bisz,19,819,data/raw/Bisz.txt
76,Blacha,25,949,data/raw/Blacha.txt
77,Blejk,17,813,data/raw/Blejk.txt
78,Blizna,33,1623,data/raw/Blizna.txt
79,Blowek,17,723,data/raw/Blowek.txt
80,Bober,33,1535,data/raw/Bober.txt
81,Bobson,26,1174,data/raw/Bobson.txt
82,Bokser,2,38,data/raw/Bokser.txt
83,Bolo,17,723,data/raw/Bolo.txt
84,Bombel,22,1107,data/raw/Bombel.txt
85,Bonez,22,1298,data/raw/Bonez.txt
86,Bonson,26,1174,data/raw/Bonson.txt
87,Boomber,33,1535,data/raw/Boomber.txt
88,Borixon,21,1093,data/raw/Borixon.txt
89,Borns,30,2648,data/raw/Borns.txt
90,Borucci,31,620,data/raw/Borucci.txt
91,Bosski Roman,28,1429,data/raw/Bosski Roman.txt
92,Boxdel,22,1107,data/raw/Boxdel.txt
93,Brian,25,983,data/raw/Brian.txt
94,Brodka,26,891,data/raw/Brodka.txt
95,Brutny,40,2568,data/raw/Brutny.txt
96,Bryan,2,24,data/raw/Bryan.txt
97,Bryndal,2,24,data/raw/Bryndal.txt
98,Brzydal,2,24,data/raw/Brzydal.txt
99,Bu,43,1694,data/raw/Bu.txt
100,Buczer,44,1629,data/raw/Buczer.txt
101,Budda,43,1757,data/raw/Budda.txt
102,Buka,20,676,data/raw/Buka.txt
103,Butgra,43,1694,data/raw/Butgra.txt
104,Bzyku,17,722,data/raw/Bzyku.txt
105,CBR,18,836,data/raw/CBR.txt
106,CatchUp,22,885,data/raw/CatchUp.txt
107,CdoZ,23,1240,data/raw/CdoZ.txt
108,CeZik,38,1477,data/raw/CeZik.txt
109,Ceka,2,24,data/raw/Ceka.txt
110,Ceter,17,701,data/raw/Ceter.txt
111,Cheatz,27,803,data/raw/Cheatz.txt
112,Chivas,17,907,data/raw/Chivas.txt
113,Chwytak,20,584,data/raw/Chwytak.txt
114,Cinek,20,619,data/raw/Cinek.txt
115,Cleo,19,603,data/raw/Cleo.txt
116,Coals,41,1392,data/raw/Coals.txt
117,Czarek Jóźwik,19,1147,data/raw/Czarek Jóźwik.txt
118,Czerwin TWM,17,776,data/raw/Czerwin TWM.txt
119,Czeski,17,776,data/raw/Czeski.txt
120,Czorny,17,1030,data/raw/Czorny.txt
121,Człowień,52,1985,data/raw/Człowień.txt
122,DEJW,17,574,data/raw/DEJW.txt
123,DJ Black Belt Greg,17,658,data/raw/DJ Black Belt Greg.txt
124,DJ Buhh,31,1234,data/raw/DJ Buhh.txt
125,DJ Fauda,24,931,data/raw/DJ Fauda.txt
126,DJ Johny,17,535,data/raw/DJ Johny.txt
127,DJ Remisz,31,1435,data/raw/DJ Remisz.txt
128,DJ Te,32,957,data/raw/DJ Te.txt
129,DOKA,19,868,data/raw/DOKA.txt
130,Damian,47,2276,data/raw/Damian.txt
131,Daria Zawiałow,21,669,data/raw/Daria Zawiałow.txt
132,Dawid Podsiadło,27,924,data/raw/Dawid Podsiadło.txt
133,Dazior,53,1158,data/raw/Dazior.txt
134,Deamon,25,988,data/raw/Deamon.txt
135,Dedis,56,1610,data/raw/Dedis.txt
136,Deemz,18,562,data/raw/Deemz.txt
137,Dejan,17,749,data/raw/Dejan.txt
138,Dejlu,25,988,data/raw/Dejlu.txt
139,Del-M,32,939,data/raw/Del-M.txt
140,Delekta,17,1018,data/raw/Delekta.txt
141,Delph,17,814,data/raw/Delph.txt
142,Dennis,33,1150,data/raw/Dennis.txt
143,Deps,22,868,data/raw/Deps.txt
144,Deutsch,17,554,data/raw/Deutsch.txt
145,Deys,21,1177,data/raw/Deys.txt
146,Dharni,21,669,data/raw/Dharni.txt
147,Diament,17,653,data/raw/Diament.txt
148,Diho,27,1078,data/raw/Diho.txt
149,Dister,47,1500,data/raw/Dister.txt
150,Dizkret,17,662,data/raw/Dizkret.txt
151,Dla Pieniędzy,21,523,data/raw/Dla Pieniędzy.txt
152,Doda,19,868,data/raw/Doda.txt
153,Dogas,41,1888,data/raw/Dogas.txt
154,Dokkeytino,17,404,data/raw/Dokkeytino.txt
155,Domi,17,554,data/raw/Domi.txt
156,DonGURALesko,48,1628,data/raw/DonGURALesko.txt
157,Doniu,48,1628,data/raw/Doniu.txt
158,Dono,48,1628,data/raw/Dono.txt
159,Dryja,17,689,data/raw/Dryja.txt
160,Duke102,2,20,data/raw/Duke102.txt
161,Duże Pe,17,693,data/raw/Duże Pe.txt
162,Dwa Sławy,41,1587,data/raw/Dwa Sławy.txt
163,Dziarma,67,2136,data/raw/Dziarma.txt
164,Dziemian,25,1059,data/raw/Dziemian.txt
165,Dżej Dżej,17,1099,data/raw/Dżej Dżej.txt
166,E V,18,759,data/raw/E V.txt
167,EFES,17,770,data/raw/EFES.txt
168,EMAS,32,957,data/raw/EMAS.txt
169,ENES,26,768,data/raw/ENES.txt
170,Egon,32,1593,data/raw/Egon.txt
171,Ejten,26,1367,data/raw/Ejten.txt
172,Eldo,19,753,data/raw/Eldo.txt
173,Elliot,17,709,data/raw/Elliot.txt
174,EmKaTus,20,1055,data/raw/EmKaTus.txt
175,EmTe,26,1367,data/raw/EmTe.txt
176,Emikae,20,1055,data/raw/Emikae.txt
177,Enej,18,888,data/raw/Enej.txt
178,Entetainment,20,913,data/raw/Entetainment.txt
179,Epis Dym KNF,17,616,data/raw/Epis Dym KNF.txt
180,Eripe,18,900,data/raw/Eripe.txt
181,Erking,17,692,data/raw/Erking.txt
182,Ero JWP,24,959,data/raw/Ero JWP.txt
183,Erobeo,18,735,data/raw/Erobeo.txt
184,FAGATA,30,1289,data/raw/FAGATA.txt
185,FRMN,17,723,data/raw/FRMN.txt
186,FRS,22,902,data/raw/FRS.txt
187,Famson,19,1032,data/raw/Famson.txt
188,Fanggotten,14,643,data/raw/Fanggotten.txt
189,Fazi,21,748,data/raw/Fazi.txt
190,Fejz,19,931,data/raw/Fejz.txt
191,Fekir,14,605,data/raw/Fekir.txt
192,Feno,20,870,data/raw/Feno.txt
193,Filipek,27,1119,data/raw/Filipek.txt
194,Fisz,16,1173,data/raw/Fisz.txt
195,Fiłoń,22,807,data/raw/Fiłoń.txt
196,Flexxy 2115,18,974,data/raw/Flexxy 2115.txt
197,Flexys,18,974,data/raw/Flexys.txt
198,Flint,30,1523,data/raw/Flint.txt
199,Floral Bugs,22,1115,data/raw/Floral Bugs.txt
200,Floras,4,83,data/raw/Floras.txt
201,Florek,22,1115,data/raw/Florek.txt
202,Fokus,43,2068,data/raw/Fokus.txt
203,FonTam,31,1378,data/raw/FonTam.txt
204,Fonciak,17,991,data/raw/Fonciak.txt
205,FonoPe,17,810,data/raw/FonoPe.txt
206,Franzu,17,723,data/raw/Franzu.txt
207,Fresz,21,954,data/raw/Fresz.txt
208,Friz,22,902,data/raw/Friz.txt
209,Frosti,17,609,data/raw/Frosti.txt
210,Fu,25,1164,data/raw/Fu.txt
211,Fukaj,25,1164,data/raw/Fukaj.txt
212,G2E,27,1185,data/raw/G2E.txt
213,Gajowy,37,1412,data/raw/Gajowy.txt
214,Galla,45,1807,data/raw/Galla.txt
215,Gandi Ganda,17,797,data/raw/Gandi Ganda.txt
216,Gargamel,38,1394,data/raw/Gargamel.txt
217,Gawin,18,1130,data/raw/Gawin.txt
218,Gedz,27,1185,data/raw/Gedz.txt
219,Gentle,41,701,data/raw/Gentle.txt
220,Genzi,17,801,data/raw/Genzi.txt
221,Gibbs,25,1190,data/raw/Gibbs.txt
222,Gierun,17,1357,data/raw/Gierun.txt
223,Gimper,34,1769,data/raw/Gimper.txt
224,Ginger,34,1769,data/raw/Ginger.txt
225,Giu,25,1190,data/raw/Giu.txt
226,Gix,25,1190,data/raw/Gix.txt
227,Gizmo WDP,54,1600,data/raw/Gizmo WDP.txt
228,Golin,34,1457,data/raw/Golin.txt
229,Golo,32,785,data/raw/Golo.txt
230,Gooral,48,1628,data/raw/Gooral.txt
231,Gospel,17,958,data/raw/Gospel.txt
232,Graf,34,1516,data/raw/Graf.txt
233,Green,17,783,data/raw/Green.txt
234,Grubson,49,1788,data/raw/Grubson.txt
235,Gruby Mielzky,28,1140,data/raw/Gruby Mielzky.txt
