song_id,author,verse_order,text,num_lines,char_count,text_clean,removed_lines,meta_block_cut,n_words_clean,num_lines_clean,char_count_clean
1,$ierra,1,"#hot16challenge2
Wokoło sami aktorzy zgrywają mafiozów jak Robert De Niro
I jak na to patrzę, mam ochotę oddać ci oczy jak Uchiha Shisui
Jestem przed tą grą jak trailer i preorder, no bo chcę jebany pieniądz dziś
Kręcimy się wokół bloków furami, ty obracasz dechę jak kickflip
Na szyi złote medale, sie nalatałem, mów mi Skalski
Mój braciak nie jest kurierem a cały dzień po osiedlu rzuca paczki
Traktujesz zwierzęta źle, a potem sam ułożyłeś się na psiarni
Zmieniasz poglądy jak lewo, prawo, lewo, prawo, typie robisz gun lean
Chcemy te konta bankowe, od chuja numerów mieć na nich jak Pornhub
Skakałeś, jak Małysz wylądowałeś jak Mazoch gdy przyszło nas spotkać
Oddzielam się murem od was, faje się burzą jak Konon
Tak jak dziеci po rozwodach, odchodzę dziś z twoją żoną
Szyja się świeci jak odblask, robiłem rzeczy, co boisz się robić
Patrzysz na ulicę z okna, po еpidemii i tak nie wychodzisz
Gonię papierek już od lat, niebieskie palce jak jebany Sonic
Atleta Diego Costa, ale składowi pomagam jak Rodri
Fast car and we in it
Im Vlone like im Bari, off the molly, la ferrari, you're a civic
Fingers blue, like im Sonic
Countin' Money, gonna pop out in a minute
That bitch with me, she a baddie, little mami
Shawty fire and I see it
I just wanna get it right
I just wanna get some cash
Bitches hatin', hella funny
Ima focus on the bag
Ima focus on them racks
Switchin lanes, really fast
Bitch im trill, its a fact
You ain't doin' right, you get left
Yo Maria, where you at?
'Cause
My heart been damaged, ridin' so reckless
Floor it and rev it (okay)
Pussy for breakfast, now they be jealous, icy my necklace (okay)
Kid gonna make it, got nominated
I'm dominating, feelin' amazing
She 21 and I'm $ierra the savage",39,1716,"Wokoło sami aktorzy zgrywają mafiozów jak Robert De Niro
I jak na to patrzę, mam ochotę oddać ci oczy jak Uchiha Shisui
Jestem przed tą grą jak trailer i preorder, no bo chcę jebany pieniądz dziś
Kręcimy się wokół bloków furami, ty obracasz dechę jak kickflip
Na szyi złote medale, sie nalatałem, mów mi Skalski
Mój braciak nie jest kurierem a cały dzień po osiedlu rzuca paczki
Traktujesz zwierzęta źle, a potem sam ułożyłeś się na psiarni
Zmieniasz poglądy jak lewo, prawo, lewo, prawo, typie robisz gun lean
Chcemy te konta bankowe, od chuja numerów mieć na nich jak Pornhub
Skakałeś, jak Małysz wylądowałeś jak Mazoch gdy przyszło nas spotkać
Oddzielam się murem od was, faje się burzą jak Konon
Tak jak dziеci po rozwodach, odchodzę dziś z twoją żoną
Szyja się świeci jak odblask, robiłem rzeczy, co boisz się robić
Patrzysz na ulicę z okna, po еpidemii i tak nie wychodzisz
Gonię papierek już od lat, niebieskie palce jak jebany Sonic
Atleta Diego Costa, ale składowi pomagam jak Rodri
Fast car and we in it
Im Vlone like im Bari, off the molly, la ferrari, you're a civic
Fingers blue, like im Sonic
Countin' Money, gonna pop out in a minute
That bitch with me, she a baddie, little mami
Shawty fire and I see it
I just wanna get it right
I just wanna get some cash
Bitches hatin', hella funny
Ima focus on the bag
Ima focus on them racks
Switchin lanes, really fast
Bitch im trill, its a fact
You ain't doin' right, you get left
Yo Maria, where you at?
'Cause
My heart been damaged, ridin' so reckless
Floor it and rev it (okay)
Pussy for breakfast, now they be jealous, icy my necklace (okay)
Kid gonna make it, got nominated
I'm dominating, feelin' amazing
She 21 and I'm $ierra the savage",1,False,308,38,1699
2,2020,1,"2020 #hot16challange
W 2-20 miał wyjść mój rap
Coś nie pykło, no sory brat
Miałem w planach wydawać album
Wybrałem opcję - swój talent zmarnuj
Od taaak oddałem wszystko
I teraz powoli tak krocze przed siebie
To ruchy spokojne, bo żyje jak w niebie
Nie patrzę za siebie, mam plany ogromne
I pewnie ich nigdy nie skończę
Nie mogę zostawiać wszystkiego na lodzie
Wszystkie pomysły tu kończę w połowie
Wciąż martwię się co kto o mnie tu powie
I obiecuje że 2-20-dziesty to będzie mój rok
Powtarzam to sobie kolejny rok
Mija następny, następny i co
Siedzę na dupie tak z roku na rok
Z roku na rok...",18,594,"2020 #hot16challange
W 2-20 miał wyjść mój rap
Coś nie pykło, no sory brat
Miałem w planach wydawać album
Wybrałem opcję - swój talent zmarnuj
Od taaak oddałem wszystko
I teraz powoli tak krocze przed siebie
To ruchy spokojne, bo żyje jak w niebie
Nie patrzę za siebie, mam plany ogromne
I pewnie ich nigdy nie skończę
Nie mogę zostawiać wszystkiego na lodzie
Wszystkie pomysły tu kończę w połowie
Wciąż martwię się co kto o mnie tu powie
I obiecuje że 2-20-dziesty to będzie mój rok
Powtarzam to sobie kolejny rok
Mija następny, następny i co
Siedzę na dupie tak z roku na rok
Z roku na rok...",0,False,110,18,594
3,2K,1,"#Hot16Challenge2
Zapierdalam ciężko, bo się nie lubię przedstawiać
Z diabłem tańczę do białego rana
Pierdolą mi się kroki, no bo wjechał właśnie xanax
Czuje, że do zrobienia jest w chuj siana
No i prędzej wypierdolę kitę, niż odpuszczę
Jedną ręką łapię drina, drugą wrzucam jej pod bluzkę
Leci stary future, od rana palę bukiet
Wszędzie wejdę, bo do każdej bramy mam tu klucze
Dzisiaj piszczy tylko szmata, dawno już nie bieda
Całą noc wędrował towar, miał być koko na to feta
Z materiałem dzisiaj już biegają nawet dzieci
Gówno, które szamiesz to są kurwa śmieci
Jestem, lecę pake 600, proszę zrób mi miejsce
Nie rozumiem o czym mówisz, jakiej kurwa klęsce
Kolega się pyta czy się poczęstuje testem
Pokaż mi kto wcześniej miał tu takie wejście",17,744,"Zapierdalam ciężko, bo się nie lubię przedstawiać
Z diabłem tańczę do białego rana
Pierdolą mi się kroki, no bo wjechał właśnie xanax
Czuje, że do zrobienia jest w chuj siana
No i prędzej wypierdolę kitę, niż odpuszczę
Jedną ręką łapię drina, drugą wrzucam jej pod bluzkę
Leci stary future, od rana palę bukiet
Wszędzie wejdę, bo do każdej bramy mam tu klucze
Dzisiaj piszczy tylko szmata, dawno już nie bieda
Całą noc wędrował towar, miał być koko na to feta
Z materiałem dzisiaj już biegają nawet dzieci
Gówno, które szamiesz to są kurwa śmieci
Jestem, lecę pake 600, proszę zrób mi miejsce
Nie rozumiem o czym mówisz, jakiej kurwa klęsce
Kolega się pyta czy się poczęstuje testem
Pokaż mi kto wcześniej miał tu takie wejście",1,False,125,16,727
4,2sty,1,"#hot16challenge2
Długo mnie nie było, bo załatwiałem sprawy
Latałem na pętli z Paryża do Warszawy
Nie latałem po pętli, dziś mam okazję, bo koleżka wysłał nominację
I zwolnili z pracy MNIE MNIE
Więcej mam czasu na GRĘ GRĘ
Wejdę na Newonce, GIEŁ-DĘ
Może coś znajdę, HE HE
Otwieram karton i szamię sobie PIZZĘ
WOW WOW, jeszcze wcisnę
ŁEE ŁEE, zajebiście
Oglądam ""Last Dance"" na Netfliksie
W trakcie korony pokazują króla
Wielkie rzeczy rodzą się w BULLACH
Mówię do Ciebie BYKU, jakbyś był z CHICAGO
Będzie dobrze, jeszcze będzie klawo
Brawo dla Solara za inicjatywę
Brawo dla lekarzy i ekspedientek
A na koniec to powiem tak",19,622,"Długo mnie nie było, bo załatwiałem sprawy
Latałem na pętli z Paryża do Warszawy
Nie latałem po pętli, dziś mam okazję, bo koleżka wysłał nominację
I zwolnili z pracy MNIE MNIE
Więcej mam czasu na GRĘ GRĘ
Wejdę na Newonce, GIEŁ-DĘ
Może coś znajdę, HE HE
Otwieram karton i szamię sobie PIZZĘ
WOW WOW, jeszcze wcisnę
ŁEE ŁEE, zajebiście
Oglądam ""Last Dance"" na Netfliksie
W trakcie korony pokazują króla
Wielkie rzeczy rodzą się w BULLACH
Mówię do Ciebie BYKU, jakbyś był z CHICAGO
Będzie dobrze, jeszcze będzie klawo
Brawo dla Solara za inicjatywę
Brawo dla lekarzy i ekspedientek
A na koniec to powiem tak",1,False,105,18,605
7,4tune,1,"#hot16challenge2
Ich komm' in den Raum und du weißt, gleich wird geballert (Yeah)
Schwanz so lang, ich fick' dich auch mit zwei Meter Abstand (Yeah)
Deine Frau steht völlig neben sich und staunt
Aber nein, ich bin nicht Gott, ich sehe nur so aus (Yeah)
Tune schon in der Jugend viel zu cool für die Welt
Ich hab' kassiert auf dem Schulhof (Huh?), aber nur das Geld (Yeah)
Leute sagen mir, sie wären gern so 'ne Ikone
Und ich lass' das mal im Raum stehen, als wär's 'ne Kommode (Yeah)
Was, das hier ist deine Slut? – Ach, Junge, halt dein Maul
Du bist kein Mädchen für eine Nacht? 'Ne Stunde reicht mir auch
Geh' ich dir an die Hose, krieg' ich sicherlich Corona
Denn du bist nicht die Büchse, nur die Dose der Pandora
Alter, darf der das? (Huh?) Darf der sowas sagen?
Ja, ich fühl' mich wohl, so wie ein Habitak in seinem eig'nen Habitat
Ich setz' im nächsten Jahr auch gern die Schutzmaske auf
Aber nur falls ich euch treff' und eine Schusswaffe brauch' (Yeah, yeah)",17,967,"Ich komm' in den Raum und du weißt, gleich wird geballert (Yeah)
Schwanz so lang, ich fick' dich auch mit zwei Meter Abstand (Yeah)
Deine Frau steht völlig neben sich und staunt
Aber nein, ich bin nicht Gott, ich sehe nur so aus (Yeah)
Tune schon in der Jugend viel zu cool für die Welt
Ich hab' kassiert auf dem Schulhof (Huh?), aber nur das Geld (Yeah)
Leute sagen mir, sie wären gern so 'ne Ikone
Und ich lass' das mal im Raum stehen, als wär's 'ne Kommode (Yeah)
Was, das hier ist deine Slut? – Ach, Junge, halt dein Maul
Du bist kein Mädchen für eine Nacht? 'Ne Stunde reicht mir auch
Geh' ich dir an die Hose, krieg' ich sicherlich Corona
Denn du bist nicht die Büchse, nur die Dose der Pandora
Alter, darf der das? (Huh?) Darf der sowas sagen?
Ja, ich fühl' mich wohl, so wie ein Habitak in seinem eig'nen Habitat
Ich setz' im nächsten Jahr auch gern die Schutzmaske auf
Aber nur falls ich euch treff' und eine Schusswaffe brauch' (Yeah, yeah)",1,False,187,16,950
8,730 Huncho,1,"#hot16challenge2
Kenny
Очень много мыслей не вопрощённых
Надо довести их до конца
Подняться выше думать тише
Я вижу у них зависть на пол лица
Очки дольче габана
Наконец - то выбрался из капкана бедности
Часто слышу слово прости
Я могу понять но только бог простит

Jeff
Witam nowy dzień, łapię chwilę, Carpe Diem
Wszyscy za pogonią na gramie po sztuczny fejm
Nigdy nie chciałem być taki i nie będę, nie
Tak jak Martin Luther ja gonię mój własny sen
Własny styl, a ty kopiuj-wklej
To nie włoski pasek, to jest pasek made in Spain
Przykleiła się, nie klej ściąga stringi Calvin Klein
Twoje 16 to dla moich uszu pain

Huncho
Pamiętam, jak pakowałem kanapki w sreberko z rana
Dziś na górze, znów w tempurze kalmary jem w Benihana
Mam mulatkę Bad LIl Momma lookin' like Rihanna
Pamiętam, jak mnie zlewały, teraz chcą być baby momma
Ona jest ze mną na każdym kroku tak jak cień, cień
Życie jak film, na reżyser znów robię tu cięcie
Ona wpatrzona we mnie jakbym rzucił zaklęcie
Nie pozwalam nigdy side hoe, wiesz, na żadne zdjęcie
(Aye Man niggas is bitches too
And bitches is on da bullshit Man)
Temat z Manhattanu przywiozłem niechcący na Okęcie
5 w toku spraw toczą się przeciwko mnie w tym momencie
3 różne imiona, ale to samo mam zdjęcie
Na każdym moim sfalsyfikatowanym dokumencie
Niebieskie limo, imo oni to leszcze
Pływam w punani jak Nemo, ona chce jeszcze
Weekend, skaczę znów po mieście tak jak King Kong
Odbijam je z bratem jak Ping Pong",38,1442,"Kenny
Очень много мыслей не вопрощённых
Надо довести их до конца
Подняться выше думать тише
Я вижу у них зависть на пол лица
Очки дольче габана
Наконец - то выбрался из капкана бедности
Часто слышу слово прости
Я могу понять но только бог простит

Jeff
Witam nowy dzień, łapię chwilę, Carpe Diem
Wszyscy za pogonią na gramie po sztuczny fejm
Nigdy nie chciałem być taki i nie będę, nie
Tak jak Martin Luther ja gonię mój własny sen
Własny styl, a ty kopiuj-wklej
To nie włoski pasek, to jest pasek made in Spain
Przykleiła się, nie klej ściąga stringi Calvin Klein
Twoje 16 to dla moich uszu pain

Huncho
Pamiętam, jak pakowałem kanapki w sreberko z rana
Dziś na górze, znów w tempurze kalmary jem w Benihana
Mam mulatkę Bad LIl Momma lookin' like Rihanna
Pamiętam, jak mnie zlewały, teraz chcą być baby momma
Ona jest ze mną na każdym kroku tak jak cień, cień
Życie jak film, na reżyser znów robię tu cięcie
Ona wpatrzona we mnie jakbym rzucił zaklęcie
Nie pozwalam nigdy side hoe, wiesz, na żadne zdjęcie
(Aye Man niggas is bitches too
And bitches is on da bullshit Man)
Temat z Manhattanu przywiozłem niechcący na Okęcie
5 w toku spraw toczą się przeciwko mnie w tym momencie
3 różne imiona, ale to samo mam zdjęcie
Na każdym moim sfalsyfikatowanym dokumencie
Niebieskie limo, imo oni to leszcze
Pływam w punani jak Nemo, ona chce jeszcze
Weekend, skaczę znów po mieście tak jak King Kong
Odbijam je z bratem jak Ping Pong",1,False,212,37,1425
10,AK-47,1,"#hot16challenge2
Proszę nie bądź świrus, to czas owocny
Ciekawe ilu czuję jak jest istotny, ilu wyciąga lekcję
Choć nieprzyjemne bywają mając czyste intencję
Z nieprzyjemnych się przejawiają w bezcenne
Wszystko bywa zmienne, jak władza w starej koncepcji mogła
Odpowiadać, karmiła ją ślepa passa, dziś traci na wadzę
Koncepcja stara rozpuszcza się w niepamięć, lecz czeka już nowa
Nowe rozwiązanie nowa szkoła w nowych kolorowych garniturach
I ozdobach, to choroba duchowa ludzkości najwyższy czas ją uzdrowić apel do wojsk i służb mundurowych wspierajcie i chrońcie nas ludzi wolnych ! pozwólcie sobie na tą wolność
Dobrobyt, jak do tej pory byliście narzędziem chorych
Wykorzystywani w sztucznych konfliktach zbrojnych
Niedoceniani gdy wracali martwi z wojny, już dość tych samych
Błędów, błędów nieświadomości, bo to bez sensu gdy w sercu
Tyle miłości",15,854,"Proszę nie bądź świrus, to czas owocny
Ciekawe ilu czuję jak jest istotny, ilu wyciąga lekcję
Choć nieprzyjemne bywają mając czyste intencję
Z nieprzyjemnych się przejawiają w bezcenne
Wszystko bywa zmienne, jak władza w starej koncepcji mogła
Odpowiadać, karmiła ją ślepa passa, dziś traci na wadzę
Koncepcja stara rozpuszcza się w niepamięć, lecz czeka już nowa
Nowe rozwiązanie nowa szkoła w nowych kolorowych garniturach
I ozdobach, to choroba duchowa ludzkości najwyższy czas ją uzdrowić apel do wojsk i służb mundurowych wspierajcie i chrońcie nas ludzi wolnych ! pozwólcie sobie na tą wolność
Dobrobyt, jak do tej pory byliście narzędziem chorych
Wykorzystywani w sztucznych konfliktach zbrojnych
Niedoceniani gdy wracali martwi z wojny, już dość tych samych
Błędów, błędów nieświadomości, bo to bez sensu gdy w sercu
Tyle miłości",1,False,126,14,837
12,ALBI,1,"#hot16challenge2
Ale jazda mam nagrać na hot16challenge
Lecę sprawdzaj ja mam dar zajebisty nie wiesz?
Bo reprezentuje podziemie
I wracam z emerytury na to wydarzenie
Tera pa, wena brat jak stąd po Kamczatkę
Od zawsze ja mam tak sążną zajawkę
Kalkulator w garść robię sobie notatkę
O tak popatrz w tekst i ten przekaz ogarniesz
Zwrota dopięta na ostatni guzik
Aż szczęki w dół lecą jak albi mówi
Który ma takie steelo i taką formę
Robi rap? skądże a i tak reszta ciągnie
A na co dzień w pracy przed kompem
Praca, bo potrzebny papier jest ciągle
Ewolucja z bluzy w koszule
Raczej poszła, ale no luzik pasuje",17,606,"Ale jazda mam nagrać na hot16challenge
Lecę sprawdzaj ja mam dar zajebisty nie wiesz?
Bo reprezentuje podziemie
I wracam z emerytury na to wydarzenie
Tera pa, wena brat jak stąd po Kamczatkę
Od zawsze ja mam tak sążną zajawkę
Kalkulator w garść robię sobie notatkę
O tak popatrz w tekst i ten przekaz ogarniesz
Zwrota dopięta na ostatni guzik
Aż szczęki w dół lecą jak albi mówi
Który ma takie steelo i taką formę
Robi rap? skądże a i tak reszta ciągnie
A na co dzień w pracy przed kompem
Praca, bo potrzebny papier jest ciągle
Ewolucja z bluzy w koszule
Raczej poszła, ale no luzik pasuje",1,False,107,16,589
13,ARTVR,1,"#hot16challenge2
Kamera poszła
Dziękuję Deys za nominację
To moje #hot16challenge

Nie mogę wychodzić na ludzi, ale wychodzę na prostą
Mam przepełnione kluby, by skakały pod nieboskłon
I kiedy dzwoni budzik, wypierdalam go przez okno
Love mi daje buzi, to lekarstwo na samotność
Ty powiedz swoim ziomkom, że lecę na okrągło
Że jak się za coś biorę zawsze robię to na stopro
Ty w pogoni za forsą zabiłeś w sobie dobro
Więc teraz policz flotę, którą przelejesz na konto
Liczysz na to, że ktoś będzie cię szanował (cię szanował)
Żadna suma nie uczyni z ciebie Boga (z ciebie boga)
Droga wóda klepie tak samo jak browar
Kto cię tak wychował, że wyrosłeś na matoła?
Mamy kurwa wielkie cele, nie patrzymy się na cenę
Ziomki pozwiedzały cele przez to ćpanie i palenie
Wychowani na element odpadowy w tym systemie
Klikaj, klikaj, klikaj przelew, bo to też dotyczy ciebie, ye, ye",20,870,"Kamera poszła
Dziękuję Deys za nominację
To moje #hot16challenge

Nie mogę wychodzić na ludzi, ale wychodzę na prostą
Mam przepełnione kluby, by skakały pod nieboskłon
I kiedy dzwoni budzik, wypierdalam go przez okno
Love mi daje buzi, to lekarstwo na samotność
Ty powiedz swoim ziomkom, że lecę na okrągło
Że jak się za coś biorę zawsze robię to na stopro
Ty w pogoni za forsą zabiłeś w sobie dobro
Więc teraz policz flotę, którą przelejesz na konto
Liczysz na to, że ktoś będzie cię szanował (cię szanował)
Żadna suma nie uczyni z ciebie Boga (z ciebie boga)
Droga wóda klepie tak samo jak browar
Kto cię tak wychował, że wyrosłeś na matoła?
Mamy kurwa wielkie cele, nie patrzymy się na cenę
Ziomki pozwiedzały cele przez to ćpanie i palenie
Wychowani na element odpadowy w tym systemie
Klikaj, klikaj, klikaj przelew, bo to też dotyczy ciebie, ye, ye",1,False,147,19,853
16,Adam Bodnar,1,"#Hot16Challenge2
Chciałbym podziękować profesorowi Matczakowi za nominację do #Hot16Challenge2
W ramach tej akcji zbieramy pieniądze zbieramy na personel medyczny i szpitale w dobie epidemii koronawirusa

Hej Tata Maty sprawdź ten styl tu
Myślisz, że RPO w rapy nie ma skillsów?
Mylisz się ziomku, to oczywiste
Taco, Bonus i Łona są na mojej playliście
Na ładne sweterki z królewskim logo
Reaguję alergią, reagują trwogą
Przed prowincją bardziej chylę kark
Tam gdzie nie na vansy, a na bilet brak
Bity, sample, to nie mój trip
Ale zrozumieć chcę, unikam strefy VIP
I może nie jest ze sztuką zgodne to
Ale sprawdź jak nawija Bodnar - RPO
Kamień jak Syzyf pcham wciąż i wciąż
Unia nie może się wynieść jak ex-mąż
Konstytucja to dla mnie wersy modlitwy
Nie oddam jej na pastwę dissującej sitwy

Do kolejnych występów w ramach #hot16challenge2 nominuję:
Profesora Wojciecha Sadurskiego
Odetę Moro z Onet Rano
Jarosława Gwizdaka - Keitha Richardsa wśród prawników
Anję Rubik
Oraz doktora misio, czyli Arkadiusza Jakubika",25,1015,"Chciałbym podziękować profesorowi Matczakowi za nominację do #Hot16Challenge2
W ramach tej akcji zbieramy pieniądze zbieramy na personel medyczny i szpitale w dobie epidemii koronawirusa

Hej Tata Maty sprawdź ten styl tu
Myślisz, że RPO w rapy nie ma skillsów?
Mylisz się ziomku, to oczywiste
Taco, Bonus i Łona są na mojej playliście
Na ładne sweterki z królewskim logo
Reaguję alergią, reagują trwogą
Przed prowincją bardziej chylę kark
Tam gdzie nie na vansy, a na bilet brak
Bity, sample, to nie mój trip
Ale zrozumieć chcę, unikam strefy VIP
I może nie jest ze sztuką zgodne to
Ale sprawdź jak nawija Bodnar - RPO
Kamień jak Syzyf pcham wciąż i wciąż
Unia nie może się wynieść jak ex-mąż
Konstytucja to dla mnie wersy modlitwy
Nie oddam jej na pastwę dissującej sitwy

Do kolejnych występów w ramach #hot16challenge2 nominuję:
Profesora Wojciecha Sadurskiego
Odetę Moro z Onet Rano
Jarosława Gwizdaka - Keitha Richardsa wśród prawników
Anję Rubik
Oraz doktora misio, czyli Arkadiusza Jakubika",1,False,159,24,998
